言語・数理正答数,,,総合解答数,,,総合正答数
粗点,換算点,,粗点,換算点,,粗点,換算点
0,20,,0,20,,0,20
1,20,,1,20,,1,20
2,20,,2,20,,2,20
3,20,,3,20,,3,20
4,22,,4,20,,4,20
5,22,,5,20,,5,20
6,23,,6,20,,6,20
7,23,,7,20,,7,20
8,25,,8,20,,8,20
9,25,,9,20,,9,20
10,27,,10,20,,10,20
11,27,,11,20,,11,20
12,29,,12,20,,12,20
13,29,,13,20,,13,20
14,31,,14,20,,14,22
15,31,,15,20,,15,22
16,32,,16,20,,16,22
17,32,,17,20,,17,22
18,34,,18,20,,18,24
19,34,,19,20,,19,24
20,36,,20,20,,20,24
21,36,,21,20,,21,24
22,38,,22,21,,22,26
23,38,,23,21,,23,26
24,39,,24,21,,24,26
25,39,,25,21,,25,26
26,41,,26,22,,26,28
27,41,,27,22,,27,28
28,43,,28,22,,28,28
29,43,,29,22,,29,28
30,45,,30,24,,30,30
31,45,,31,24,,31,30
32,46,,32,24,,32,30
33,46,,33,24,,33,30
34,48,,34,26,,34,32
35,48,,35,26,,35,32
36,50,,36,26,,36,32
37,50,,37,26,,37,32
38,52,,38,28,,38,34
39,52,,39,28,,39,34
40,53,,40,28,,40,34
41,53,,41,28,,41,34
42,55,,42,30,,42,36
43,55,,43,30,,43,36
44,57,,44,30,,44,36
45,57,,45,30,,45,36
46,59,,46,32,,46,38
47,59,,47,32,,47,38
48,61,,48,32,,48,38
49,61,,49,32,,49,38
50,62,,50,34,,50,40
51,62,,51,34,,51,40
52,64,,52,34,,52,40
53,64,,53,34,,53,40
54,66,,54,36,,54,42
55,66,,55,36,,55,42
56,68,,56,36,,56,42
57,68,,57,36,,57,42
58,69,,58,38,,58,44
59,69,,59,38,,59,44
60,71,,60,38,,60,44
61,71,,61,38,,61,44
62,73,,62,39,,62,46
63,73,,63,39,,63,46
64,75,,64,39,,64,46
65,75,,65,39,,65,46
66,76,,66,41,,66,48
67,76,,67,41,,67,48
68,78,,68,41,,68,48
69,78,,69,41,,69,48
70,80,,70,43,,70,49
71,80,,71,43,,71,49
72,80,,72,43,,72,49
73,80,,73,43,,73,49
74,80,,74,45,,74,51
75,80,,75,45,,75,51
76,80,,76,45,,76,51
77,80,,77,45,,77,51
78,80,,78,47,,78,53
79,80,,79,47,,79,53
80,80,,80,47,,80,53
,,,81,47,,81,53
,,,82,49,,82,55
,,,83,49,,83,55
,,,84,49,,84,55
,,,85,49,,85,55
,,,86,51,,86,57
,,,87,51,,87,57
,,,88,51,,88,57
,,,89,51,,89,57
,,,90,53,,90,59
,,,91,53,,91,59
,,,92,53,,92,59
,,,93,53,,93,59
,,,94,55,,94,61
,,,95,55,,95,61
,,,96,55,,96,61
,,,97,55,,97,61
,,,98,56,,98,63
,,,99,56,,99,63
,,,100,56,,100,63
,,,101,56,,101,63
,,,102,58,,102,65
,,,103,58,,103,65
,,,104,58,,104,65
,,,105,58,,105,65
,,,106,60,,106,67
,,,107,60,,107,67
,,,108,60,,108,67
,,,109,60,,109,67
,,,110,62,,110,69
,,,111,62,,111,69
,,,112,62,,112,69
,,,113,62,,113,69
,,,114,64,,114,71
,,,115,64,,115,71
,,,116,64,,116,71
,,,117,64,,117,71
,,,118,66,,118,73
,,,119,66,,119,73
,,,120,66,,120,73
,,,121,66,,121,73
,,,122,68,,122,75
,,,123,68,,123,75
,,,124,68,,124,75
,,,125,68,,125,75
,,,126,70,,126,77
,,,127,70,,127,77
,,,128,70,,128,77
,,,129,70,,129,77
,,,130,72,,130,79
,,,131,72,,131,79
,,,132,72,,132,79
,,,133,72,,133,79
,,,134,73,,134,80
,,,135,73,,135,80
,,,136,73,,136,80
,,,137,73,,137,80
,,,138,75,,138,80
,,,139,75,,139,80
,,,140,75,,140,80
,,,141,75,,141,80
,,,142,77,,142,80
,,,143,77,,143,80
,,,144,77,,144,80
,,,145,77,,145,80
,,,146,79,,146,80
,,,147,79,,147,80
,,,148,79,,148,80
,,,149,79,,149,80
,,,150,80,,150,80
,,,151,80,,151,80
,,,152,80,,152,80
,,,153,80,,153,80
,,,154,80,,154,80
,,,155,80,,155,80
,,,156,80,,156,80
,,,157,80,,157,80
,,,158,80,,158,80
,,,159,80,,159,80
,,,160,80,,160,80